Tray,Species,Pop, Endo,Site,Var1,Var2,Location,Birthday,Jan8_census,Replacement_(NEW BIRTHDAY),n_Inflo,date_collect,2nd_date_collect,3rd_date_collect,spike_inflo_a,spike_inflo_b,spike_inflo_c,spike_inflo_d,spike_inflo_e,spike_inflo_f,spike_inflo_g,spike_inflo_h,spike_inflo_i,spike_infl_j,spike_inflos_unk,tot_spikelet,avg_spikelet,total_inflo,total_spik_calc,abg_mass_sans_inflo,seed save,seed squash,Inflo_mass,abg_mass_tot,NOTES
1,AGHY,SJC,E+,COL,D,7,D7,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.14179,,,0,0.14179,
1,AGHY,LPEF,E-,BFL,D,8,D8,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
1,AGHY,LPEF,E-,BFL,D,9,D9,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
1,AGHY,SJC,E-,KER,D,10,D10,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.0238,,,0,0.0238,
1,AGHY,SJC,E+,SON,D,11,D11,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,SJC,E+,COL,D,12,D12,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.13478,,,0,0.13478,
1,AGHY,SJC,E+,LAF,D,13,D13,12/13/2024,1,,1/6/1900,7/7/2025,,,40,19,47,25,46,78,43,,,,12,310,44.29,7,310,0.44228,0.02947,0.00498,0.03445,0.47673,
1,AGHY,LPEF,E+,BFL,D,14,D14,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,SJC,E+,BAS,E,1,E1,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.28565,,,0,0.28565,
1,AGHY,LPEF,E-,COL,E,2,E2,3/19/25,,,1/2/1900,7/15/2025,,,61,85,62,,,,,,,,,208,69.33,6,416,0.16158,0.02581,,0.02581,0.18739,
1,AGHY,SJC,E-,LAF,E,3,E3,12/13/2024,1,,1/6/1900,7/7/2025,,,72,87,33,29,70,57,81,,,,65,494,70.57,7,494,0.52775,0.08035,,0.08035,0.6081,
1,AGHY,SJC,E+,SON,E,4,E4,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,0,0,no plant/ weeds
1,AGHY,SJC,E+,LAF,E,5,E5,12/13/2024,1,,1/5/1900,7/7/2025,,,64,13,73,73,88,69,,,,,8,388,64.67,6,388,0.38477,0.00145,0.01273,0.01418,0.39895,
1,AGHY,SJC,E+,KER,E,6,E6,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.03146,,,0,0.03146,no plant/ weeds
1,AGHY,LPEF,E+,BFL,E,7,E7,12/13/2024,1,,1/3/1900,7/15/2025,,,101,127,177,177,,,,,,,,582,145.50,7,1019,0.44548,0.0337,0.03719,0.07089,0.51637,
1,AGHY,SJC,E-,HUN,E,8,E8,12/13/2024,1,,1/1/1900,7/15/2025,,,17,64,,,,,,,,,,81,40.50,2,81,0.48399,0.01413,,0.01413,0.49812,"old sample, spikelets disintegrated"
1,AGHY,LPEF,E-,KER,E,9,E9,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
1,AGHY,SJC,E-,HUN,E,10,E10,12/13/2024,1,,1/2/1900,7/15/2025,,,63,76,34,,,,,,,,25,198,66.00,3,198,0.74137,0.02044,,0.02044,0.76181,
1,AGHY,LPEF,E+,HUN,E,11,E11,12/13/2024,1,,1/5/1900,7/14/2025,7/22/2025,,134,113,35,123,124,110,,,,,53,692,115.33,6,692,0.48757,0.06984,0.02124,0.09108,0.57865,
1,AGHY,LPEF,E-,HUN,E,12,E12,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
1,AGHY,SJC,E+,HUN,E,13,E13,12/13/2024,0,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,SJC,E+,LAF,E,14,E14,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,SJC,E+,KER,F,1,F1,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.08073,,,0,0.08073,
1,AGHY,LPEF,E-,HUN,F,2,F2,3/19/25,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,LPEF,E-,SON,F,3,F3,3/19/25,,,1/1/1900,9/2/2025,,,39,134,67,,,,,,,,,240,120.00,3,360,0.10055,0.00609,0.00114,0.00723,0.10778,
1,AGHY,SJC,E-,LAF,F,4,F4,12/13/2024,1,,1/6/1900,7/7/2025,,,42,36,25,47,31,60,,,,,47,288,41.14,7,288,0.53745,0.00709,,0.00709,0.54454,"old sample, spikelets disintegrated"
1,AGHY,SJC,E-,SON,F,5,F5,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.01434,,,0,0.01434,no plant/ weeds
1,AGHY,SJC,E+,BFL,F,6,F6,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,SJC,E+,COL,F,7,F7,12/13/2024,0,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
1,AGHY,LPEF,E+,SON,F,8,F8,12/13/2024,0,3/19/25,12/31/1899,7/15/2025,,,68,,,,,,,,,,,68,68.00,1,68,0.00389,0.00541,,0.00541,0.0093,"not enough samples, contains both save and squash"
1,AGHY,SJC,E+,SON,F,9,F9,12/13/2024,0,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.00489,,,0,0.00489,no plant/ weeds
1,AGHY,SJC,E+,HUN,F,10,F10,12/13/2024,1,,12/31/1899,7/15/2025,,,30,,,,,,,,,,,30,30.00,1,30,0.66162,0.00792,,0.00792,0.66954,"not enough samples, contains both save and squash"
1,AGHY,SJC,E-,HUN,F,11,F11,12/13/2024,1,,1/2/1900,7/15/2025,,,63,38,58,,,,,,,,,159,53.00,3,159,0.51765,0.06993,,0.06993,0.58758,
1,AGHY,SJC,E+,BFL,F,12,F12,12/13/2024,0,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,SJC,E+,KER,F,13,F13,12/13/2024,0,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,LPEF,E-,LAF,F,14,F14,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
1,AGHY,LPEF,E+,SON,G,1,G1,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.00036,,,0,0.00036,no plant/ weeds
1,AGHY,LPEF,E+,BAS,G,2,G2,12/13/2024,1,,1/1/1900,7/15/2025,,,110,126,,,,,,,,,,236,118.00,2,236,0.38125,0.00033,0.00259,0.00292,0.38417,
1,AGHY,SJC,E-,KER,G,3,G3,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,SJC,E-,BAS,G,4,G4,12/13/2024,1,,1/5/1900,7/7/2025,7/15/2025,,84,24,29,51,60,61,61,,,,,370,61.67,7,432,0.46638,0.02681,,0.02681,0.49319,
1,AGHY,SJC,E-,COL,G,5,G5,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.07429,,,0,0.07429,
1,AGHY,SJC,E+,KER,G,6,G6,12/13/2024,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,"2 planted in this container, kill 1 if both survive, no plant/ weeds "
1,AGHY,SJC,E+,BAS,G,7,G7,12/13/2024,0,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,0,0,no plant/ weeds
1,AGHY,LPEF,E-,COL,G,8,G8,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
1,AGHY,LPEF,E-,SON,G,9,G9,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
1,AGHY,SJC,E-,KER,G,10,G10,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
1,AGHY,LPEF,E+,COL,G,11,G11,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.1218,,,0,0.1218,
1,AGHY,SJC,E+,BAS,G,12,G12,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.05665,,,0,0.05665,
1,AGHY,SJC,E-,SON,G,13,G13,12/13/2024,1,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.06216,,,0,0.06216,
1,AGHY,LPEF,E-,LAF,G,14,G14,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
2,AGHY,LPEF,E-,SON,A,1,A1,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,LPEF,E+,COL,A,2,A2,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.15945,,,0,0.15945,
2,AGHY,LPEF,E-,BAS,A,3,A3,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,SJC,E-,COL,A,4,A4,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.18892,,,0,0.18892,
2,AGHY,LPEF,E+,SON,A,5,A5,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,LPEF,E-,BAS,A,6,A6,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,LPEF,E-,KER,A,7,A7,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,LPEF,E+,HUN,A,8,A8,1/27/2025,,,1/1/1900,7/16/2025,7/22/2025,,123,142,,,,,,,,,,265,132.50,2,265,0.40446,0.02848,,0.02848,0.43294,A tiller was pulled when removing weeds - KS
2,AGHY,LPEF,E+,KER,A,9,A9,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,SJC,E+,KER,A,10,A10,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,SJC,E+,LAF,A,11,A11,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,LPEF,E+,BAS,A,12,A12,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,LPEF,E-,LAF,A,13,A13,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,LPEF,E+,LAF,A,14,A14,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,SJC,E-,HUN,B,1,B1,1/27/2025,1,,1/1/1900,7/14/2025,,,78,56,,,,,,,,,,134,67.00,2,134,0.41775,0.01212,,0.01212,0.42987,
2,AGHY,LPEF,E+,BFL,B,2,B2,1/27/2025,,,1/1/1900,7/22/2025,,,110,134,,,,,,,,,,244,122.00,2,244,0.31897,0.02877,,0.02877,0.34774,
2,AGHY,SJC,E+,COL,B,3,B3,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.18614,,,0,0.18614,
2,AGHY,LPEF,E-,SON,B,4,B4,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,LPEF,E-,SON,B,5,B5,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.00961,,,0,0.00961,
2,AGHY,LPEF,E-,KER,B,6,B6,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,0,0,no plant/ weeds
2,AGHY,LPEF,E-,COL,B,7,B7,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
2,AGHY,LPEF,E+,BAS,B,8,B8,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.006,,,0,0.006,
2,AGHY,SJC,E-,LAF,B,9,B9,1/27/2025,,,1/3/1900,7/16/2025,,,23,58,47,46,,,,,,,11,185,46.25,5,231,0.32005,0.02626,0.01158,0.03784,0.35789,"old sample, spikelets disintegrated"
2,AGHY,SJC,E-,LAF,B,10,B10,1/27/2025,0,3/19/25,12/31/1899,7/16/2025,9/2/2025,,116,46,101,,,,,,,,,263,263.00,3,789,0.19564,0.02158,0.00242,0.024,0.21964,
2,AGHY,LPEF,E-,KER,B,11,B11,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
2,AGHY,SJC,E+,HUN,B,12,B12,1/27/2025,,,1/1/1900,7/16/2025,7/22/2025,,105,97,,,,,,,,,16,218,109.00,2,218,0.37439,0.02016,,0.02016,0.39455,
2,AGHY,SJC,E-,BAS,B,13,B13,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,SJC,E+,KER,B,14,B14,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.02106,,,0,0.02106,
2,AGHY,SJC,E-,SON,C,1,C1,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.01197,,,0,0.01197,
2,AGHY,LPEF,E-,HUN,C,2,C2,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
2,AGHY,SJC,E+,COL,C,3,C3,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.18734,,,0,0.18734,
2,AGHY,LPEF,E+,LAF,C,4,C4,1/27/2025,,,1/3/1900,7/16/2025,7/22/2025,,136,157,59,191,,,,,,,14,557,139.25,6,836,0.33964,0.05252,0.01973,0.07225,0.41189,
2,AGHY,LPEF,E-,BFL,C,5,C5,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
2,AGHY,LPEF,E-,BFL,C,6,C6,,,,0,,,,,,,,,,,,,,,0,0.00,0,0, ,,,,#VALUE!,no soil/ empty
2,AGHY,LPEF,E+,SON,C,7,C7,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,LPEF,E+,BFL,C,8,C8,1/27/2025,,,12/31/1899,7/16/2025,9/2/2025,,104,86,,,,,,,,,,190,190.00,2,380,0.28586,0.01711,0.00139,0.0185,0.30436,
2,AGHY,SJC,E+,LAF,C,9,C9,1/27/2025,,,12/31/1899,7/16/2025,,,46,,,,,,,,,,,46,46.00,1,46,0.27063,0.00372,,0.00372,0.27435,
2,AGHY,LPEF,E+,BFL,C,10,C10,1/27/2025,,,1/2/1900,7/16/2025,,,109,106,73,,,,,,,,,288,96.00,3,288,0.26462,0.02545,0.00115,0.0266,0.29122,
2,AGHY,SJC,E+,COL,C,11,C11,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.19058,,,0,0.19058,
2,AGHY,LPEF,E-,BAS,C,12,C12,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
2,AGHY,SJC,E-,LAF,C,13,C13,1/27/2025,,,1/2/1900,7/16/2025,7/22/2025,,76,63,57,,,,,,,,,196,65.33,3,196,0.24219,,0.01782,0.01782,0.26001,
2,AGHY,LPEF,E+,HUN,C,14,C14,1/27/2025,,,1/3/1900,7/16/2025,7/22/2025,,188,125,131,151,,,,,,,16,611,152.75,4,611,0.49925,,0.05811,0.05811,0.55736,
2,AGHY,SJC,E-,HUN,D,1,D1,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.36495,,,0,0.36495,
2,AGHY,SJC,E+,SON,D,2,D2,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,LPEF,E+,KER,D,3,D3,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no plant/ weeds
2,AGHY,LPEF,E-,HUN,D,4,D4,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
2,AGHY,LPEF,E+,BFL,D,5,D5,1/27/2025,,,1/2/1900,7/16/2025,,,52,108,172,,,,,,,,10,342,114.00,3,342,0.39679,0.03916,,0.03916,0.43595,
2,AGHY,LPEF,E-,COL,D,6,D6,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
2,AGHY,SJC,E+,BFL,D,7,D7,1/27/2025,,,12/31/1899,7/16/2025,,,62,,,,,,,,,,,62,62.00,1,62,0.39747,0.00622,,0.00622,0.40369,
2,AGHY,SJC,E+,BAS,D,8,D8,1/27/2025,,,1/1/1900,7/16/2025,,,91,74,,,,,,,,,,165,82.50,3,248,0.33522,0.02333,0.00367,0.027,0.36222,
2,AGHY,SJC,E+,BAS,D,9,D9,1/27/2025,,,1/5/1900,7/7/2025,,,78,92,48,29,67,88,,,,,6,408,68.00,7,476,0.29454,0.0431,0.01506,0.05816,0.3527,
2,AGHY,SJC,E-,BFL,D,10,D10,1/27/2025,0,3/19/25,0,,,,,,,,,,,,,,,0,0.00,0,0,0.20399,,,0,0.20399,
2,AGHY,LPEF,E+,KER,D,11,D11,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.02092,,,0,0.02092,
2,AGHY,LPEF,E+,COL,D,12,D12,1/27/2025,,,12/31/1899,7/22/2025,,,156,,,,,,,,,,,156,156.00,1,156,0.1623,0.01812,,0.01812,0.18042,
2,AGHY,LPEF,E+,BAS,D,13,D13,1/27/2025,,,0,,,,,,,,,,,,,,,0,0.00,0,0,0.30995,,,0,0.30995,
2,AGHY,SJC,E-,BFL,D,14, ,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
2,AGHY,LPEF,E-,HUN,E,1,E1,,,,0,,,,,,,,,,,,,,,0,0.00,0,0,,,,,0,no soil/ empty
