Site,Species,Tag_ID,Tiller_25,attachedInf_25,brokenInf_25,Spikelet_A,Spikelet_B,Spikelet_C,tiller_herb_25,stroma_25,date_25
HUN,AGHY,651,3,0,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,652,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,653,6,2,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,655,3,1,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,656,3,0,NA,NA,NA,NA,0,0,2025-04-29
HUN,AGHY,657,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,658,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,AGHY,659,0,NA,NA,NA,NA,NA,NA,0,2025-04-29
HUN,POAU,502,56,21,3,23,26,30,3,NA,2025-04-28
HUN,POAU,504,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,505,33,11,0,36,25,21,2,NA,2025-04-28
HUN,POAU,506,96,18,3,42,33,23,3,NA,2025-04-28
HUN,POAU,507,19,2,0,15,14,NA,1,NA,2025-04-28
HUN,POAU,508,203,25,7,34,15,17,0,NA,2025-04-28
HUN,POAU,509,13,0,1,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,511,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,513,29,2,0,12,15,NA,2,NA,2025-04-28
HUN,POAU,514,12,0,1,NA,NA,NA,0,NA,2025-04-28
HUN,POAU,516,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,601,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,605,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,607,22,17,2,33,21,23,2,NA,2025-04-28
HUN,POAU,610,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,611,159,47,2,45,22,23,7,NA,2025-04-28
HUN,POAU,615,99,45,0,42,42,44,0,NA,2025-04-28
HUN,POAU,616,35,1,0,38,NA,NA,6,NA,2025-04-28
HUN,POAU,617,4,2,0,32,48,NA,0,NA,2025-04-28
HUN,POAU,618,20,14,2,26,30,32,2,NA,2025-04-28
HUN,POAU,619,98,12,2,25,13,18,2,NA,2025-04-28
HUN,POAU,620,11,5,0,28,25,32,0,NA,2025-04-28
HUN,POAU,622,13,3,0,20,15,23,0,NA,2025-04-28
HUN,POAU,623,9,3,0,12,15,19,0,NA,2025-04-28
HUN,POAU,624,17,2,0,35,29,NA,0,NA,2025-04-28
HUN,POAU,625,23,16,0,19,23,25,0,NA,2025-04-28
HUN,POAU,626,8,4,0,29,29,32,0,NA,2025-04-28
HUN,POAU,627,19,6,1,21,35,17,2,NA,2025-04-28
HUN,POAU,628,5,3,0,17,24,17,3,NA,2025-04-28
HUN,POAU,629,70,32,0,50,32,22,0,NA,2025-04-28
HUN,POAU,519,43,9,1,8,10,22,3,NA,2025-04-28
HUN,POAU,520,8,3,0,12,5,8,2,NA,2025-04-28
HUN,POAU,523,34,4,0,15,8,22,1,NA,2025-04-28
HUN,POAU,526,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,528,18,2,0,14,14,NA,1,NA,2025-04-28
HUN,POAU,532,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,533,7,2,0,19,18,NA,0,NA,2025-04-28
HUN,POAU,534,7,1,0,13,NA,NA,0,NA,2025-04-28
HUN,POAU,535,20,5,0,24,22,22,0,NA,2025-04-28
HUN,POAU,536,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,538,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,543,52,13,0,28,24,25,0,NA,2025-04-28
HUN,POAU,544,17,7,0,21,32,23,0,NA,2025-04-28
HUN,POAU,545,4,1,0,22,NA,NA,1,NA,2025-04-28
HUN,POAU,549,2,0,0,NA,NA,NA,0,NA,2025-04-29
HUN,POAU,558,7,4,0,17,19,12,0,NA,2025-04-29
HUN,POAU,630,18,5,0,23,25,27,0,NA,2025-04-29
HUN,POAU,631,0,NA,NA,NA,NA,NA,NA,NA,2025-04-29
HUN,POAU,634,35,6,0,9,7,17,0,NA,2025-04-29
HUN,POAU,635,16,3,1,9,11,19,2,NA,2025-04-29
HUN,POAU,640,0,NA,NA,NA,NA,NA,NA,NA,2025-04-29
HUN,POAU,643,19,2,0,12,11,NA,0,NA,2025-04-29
HUN,POAU,2284,1,0,0,NA,NA,NA,0,NA,2025-04-28
HUN,POAU,2285,1,0,0,NA,NA,NA,0,NA,2025-04-28
HUN,POAU,2286,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,2287,3,0,0,NA,NA,NA,0,NA,2025-04-28
HUN,POAU,2288,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,2289,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,2290,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,2291,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,2292,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,2293,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,2294,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,2295,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,2296,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,2297,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
HUN,POAU,2298,0,NA,NA,NA,NA,NA,NA,NA,2025-04-28
COL,AGHY,321,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,323,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,327,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,236,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,237,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,239,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,240,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,241,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,242,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,243,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,244,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,245,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,246,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,247,3,1,NA,NA,NA,NA,0,0,2025-05-08
COL,AGHY,248,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,259,0,NA,NA,NA,NA,NA,NA,0,2025-05-07
COL,AGHY,408,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,409,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,410,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,412,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,417,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,374,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,376,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,378,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,383,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,334,0,NA,NA,NA,NA,NA,NA,0,2025-05-07
COL,AGHY,364,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,AGHY,367,0,NA,NA,NA,NA,NA,NA,0,2025-05-08
COL,POAU,280,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,283,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,284,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,286,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,287,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,288,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,289,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,290,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,291,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,293,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,469,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,471,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,475,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,397,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,344,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,350,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,422,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,424,,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,425,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,426,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,429,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,430,1,0,0,NA,NA,NA,1,NA,2025-05-07
COL,POAU,433,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,434,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,435,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,437,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,438,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,439,4,0,0,NA,NA,NA,1,NA,2025-05-07
COL,POAU,440,4,1,0,9,NA,NA,1,NA,2025-05-07
COL,POAU,442,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,443,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,445,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,447,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,448,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,449,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,451,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,452,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,453,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,454,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,458,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
COL,POAU,459,0,NA,NA,NA,NA,NA,NA,NA,2025-05-07
LAF,AGHY,2734,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2738,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2739,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2746,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2750,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2751,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2753,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2755,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2817,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2818,12,11,NA,NA,NA,NA,0,0,2025-05-02
LAF,AGHY,2819,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2821,5,3,NA,NA,NA,NA,0,0,2025-05-02
LAF,AGHY,2822,2,1,NA,NA,NA,NA,0,0,2025-05-02
LAF,AGHY,2825,29,15,NA,NA,NA,NA,0,0,2025-05-02
LAF,AGHY,2828,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2830,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2803,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2805,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2806,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2807,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2808,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2809,1,0,NA,NA,NA,NA,0,0,2025-05-02
LAF,AGHY,2812,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2788,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2790,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2793,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,AGHY,2801,0,NA,NA,NA,NA,NA,NA,0,2025-05-02
LAF,POAU,2874,128,3,24,19,13,10,24,NA,2025-05-02
LAF,POAU,2875,81,17,5,10,15,17,5,NA,2025-05-02
LAF,POAU,2876,163,18,22,20,18,19,22,NA,2025-05-02
LAF,POAU,2877,99,18,13,38,35,12,13,NA,2025-05-02
LAF,POAU,2878,59,5,23,9,13,21,23,NA,2025-05-02
LAF,POAU,2879,17,4,0,7,20,27,15,NA,2025-05-02
LAF,POAU,2880,47,5,2,10,17,27,2,NA,2025-05-02
LAF,POAU,2881,83,5,13,12,7,5,53,NA,2025-05-02
LAF,POAU,2882,63,25,17,7,13,15,17,NA,2025-05-02
LAF,POAU,2883,59,23,20,12,17,22,20,NA,2025-05-02
LAF,POAU,2885,174,18,19,17,22,23,19,NA,2025-05-02
LAF,POAU,2886,5,1,1,14,NA,NA,1,NA,2025-05-02
LAF,POAU,2887,93,27,12,6,23,13,12,NA,2025-05-02
LAF,POAU,2888,226,63,24,16,24,24,24,NA,2025-05-02
LAF,POAU,2889,115,19,1,23,29,34,1,NA,2025-05-02
LAF,POAU,2890,40,14,4,28,20,26,4,NA,2025-05-02
LAF,POAU,2891,184,57,5,15,20,31,5,NA,2025-05-02
LAF,POAU,2892,3,0,NA,NA,NA,NA,0,NA,2025-05-02
LAF,POAU,2893,125,51,1,34,33,36,1,NA,2025-05-02
LAF,POAU,2894,140,51,0,33,23,30,0,NA,2025-05-02
LAF,POAU,2895,42,11,0,25,15,16,0,NA,2025-05-02
LAF,POAU,2896,38,18,2,9,20,32,2,NA,2025-05-02
LAF,POAU,2898,83,21,2,34,14,9,3,NA,2025-05-02
LAF,POAU,2899,87,18,5,27,17,10,5,NA,2025-05-02
LAF,POAU,2900,139,28,3,51,37,21,5,NA,2025-05-02
LAF,POAU,2901,158,60,3,55,31,76,3,NA,2025-05-02
LAF,POAU,2902,166,44,5,29,25,33,5,NA,2025-05-02
LAF,POAU,2903,37,12,3,23,10,12,4,NA,2025-05-02
LAF,POAU,2859,169,52,10,47,28,37,13,NA,2025-05-02
LAF,POAU,2860,55,21,5,69,50,20,5,NA,2025-05-02
LAF,POAU,2861,124,48,5,19,17,10,30,NA,2025-05-02
LAF,POAU,2862,92,37,25,30,22,30,25,NA,2025-05-02
LAF,POAU,2863,68,15,7,26,26,25,7,NA,2025-05-02
LAF,POAU,2864,163,51,2,41,45,37,2,NA,2025-05-02
LAF,POAU,2865,69,10,3,12,20,22,31,NA,2025-05-02
LAF,POAU,2866,83,13,2,12,18,12,76,NA,2025-05-02
LAF,POAU,2868,106,31,5,20,14,25,5,NA,2025-05-02
LAF,POAU,2869,16,0,5,NA,NA,NA,8,NA,2025-05-02
LAF,POAU,2870,80,10,12,18,14,14,14,NA,2025-05-02
LAF,POAU,2871,152,53,17,48,27,38,17,NA,2025-05-02
LAF,POAU,2872,73,25,8,30,40,30,8,NA,2025-05-02
LAF,POAU,2873,185,28,29,13,14,15,35,NA,2025-05-02
LAF,POAU,2844,0,NA,NA,NA,NA,NA,NA,NA,2025-05-02
LAF,POAU,2845,0,NA,NA,NA,NA,NA,NA,NA,2025-05-02
LAF,POAU,2846,60,18,0,36,33,42,1,NA,2025-05-02
LAF,POAU,2847,3,0,NA,NA,NA,NA,0,NA,2025-05-02
LAF,POAU,2848,0,NA,NA,NA,NA,NA,NA,NA,2025-05-02
LAF,POAU,2849,53,18,5,15,34,22,7,NA,2025-05-02
LAF,POAU,2850,0,NA,NA,NA,NA,NA,NA,NA,2025-05-02
LAF,POAU,2851,58,18,0,26,31,37,0,NA,2025-05-02
LAF,POAU,2852,13,6,1,27,35,19,1,NA,2025-05-02
LAF,POAU,2853,15,1,0,25,NA,NA,0,NA,2025-05-02
LAF,POAU,2854,0,NA,NA,NA,NA,NA,NA,NA,2025-05-02
LAF,POAU,2855,23,2,7,26,24,29,0,NA,2025-05-02
LAF,POAU,2856,50,11,3,25,25,20,3,NA,2025-05-02
LAF,POAU,2857,0,NA,NA,NA,NA,NA,NA,NA,2025-05-02
LAF,POAU,2858,0,NA,NA,NA,NA,NA,NA,NA,2025-05-02
LAF,POAU,2904,38,4,4,22,14,27,4,NA,2025-05-01
LAF,POAU,2905,89,0,6,NA,NA,NA,11,NA,2025-05-01
LAF,POAU,2907,94,14,12,26,23,19,22,NA,2025-05-01
LAF,POAU,2908,35,2,4,27,41,NA,11,NA,2025-05-01
LAF,POAU,2909,73,13,4,26,18,11,7,NA,2025-05-01
LAF,POAU,2910,36,2,4,8,19,NA,4,NA,2025-05-01
LAF,POAU,2911,53,14,2,23,17,13,5,NA,2025-05-01
LAF,POAU,2912,13,0,0,NA,NA,NA,6,NA,2025-05-01
LAF,POAU,2913,37,3,7,17,19,11,7,NA,2025-05-01
LAF,POAU,2914,0,NA,NA,NA,NA,NA,NA,NA,2025-05-01
LAF,POAU,2915,71,24,1,12,20,23,5,NA,2025-05-01
LAF,POAU,2916,19,4,4,27,11,5,11,NA,2025-05-01
LAF,POAU,2918,84,27,13,68,21,21,17,NA,2025-05-01
LAF,POAU,2917,47,14,1,21,23,21,2,NA,2025-05-01
LAF,POAU,2919,89,17,19,17,28,12,24,NA,2025-05-01
LAF,POAU,2920,74,8,12,13,19,11,21,NA,2025-05-01
LAF,POAU,2921,31,3,13,16,8,NA,13,NA,2025-05-01
LAF,POAU,2923,0,NA,NA,NA,NA,NA,NA,NA,2025-05-01
LAF,POAU,2924,60,10,14,36,34,37,16,NA,2025-05-01
LAF,POAU,2925,43,1,12,9,NA,NA,14,NA,2025-05-01
LAF,POAU,2926,111,17,10,14,37,11,10,NA,2025-05-01
LAF,POAU,2927,98,14,25,41,20,20,25,NA,2025-05-01
LAF,POAU,2928,120,14,48,25,16,27,48,NA,2025-05-01
LAF,POAU,2929,57,15,1,10,14,17,1,NA,2025-05-01
LAF,POAU,2931,20,4,6,29,51,17,6,NA,2025-05-01
LAF,POAU,2932,0,NA,NA,NA,NA,NA,NA,NA,2025-05-01
LAF,POAU,2933,73,9,2,10,11,19,2,NA,2025-05-01
LAF,POAU,2934,135,37,4,14,18,13,4,NA,2025-05-01
LAF,POAU,2935,108,42,1,47,29,26,1,NA,2025-05-01
LAF,POAU,2936,31,15,1,30,47,48,1,NA,2025-05-01
LAF,POAU,2937,129,43,0,37,39,46,1,NA,2025-05-01
LAF,POAU,2938,22,7,2,20,10,19,2,NA,2025-05-01
LAF,POAU,2939,141,38,0,32,35,22,0,NA,2025-05-01
LAF,POAU,2940,56,26,0,44,43,32,0,NA,2025-05-01
LAF,POAU,2941,143,48,3,27,28,28,3,NA,2025-05-01
LAF,POAU,2942,109,36,3,13,15,7,5,NA,2025-05-01
LAF,POAU,2943,112,26,8,15,22,24,15,NA,2025-05-01
LAF,POAU,2944,49,16,0,16,15,12,0,NA,2025-05-01
LAF,POAU,2945,127,61,3,52,62,40,3,NA,2025-05-01
LAF,POAU,2946,20,9,3,16,33,25,3,NA,2025-05-01
LAF,POAU,2948,202,70,2,24,31,25,2,NA,2025-05-01
LAF,POAU,2949,5,0,0,NA,NA,NA,0,NA,2025-05-01
LAF,POAU,2950,52,12,5,36,48,26,5,NA,2025-05-01
LAF,POAU,2951,48,27,0,46,44,42,0,NA,2025-05-01
LAF,POAU,2952,54,9,4,21,28,34,4,NA,2025-05-01
LAF,POAU,2953,72,33,5,63,26,33,5,NA,2025-05-01
LAF,POAU,2954,5,0,0,NA,NA,NA,0,NA,2025-05-01
LAF,POAU,2955,0,NA,NA,NA,NA,NA,NA,NA,2025-05-01
LAF,POAU,2956,124,31,2,19,21,13,2,NA,2025-05-01
LAF,POAU,2957,36,15,4,19,23,15,4,NA,2025-05-01
LAF,POAU,2958,9,5,1,9,8,12,1,NA,2025-05-01
LAF,POAU,2959,93,43,5,29,31,17,5,NA,2025-05-01
LAF,POAU,2960,56,28,4,18,19,25,4,NA,2025-05-01
LAF,POAU,2961,74,27,3,40,47,44,3,NA,2025-05-01
LAF,POAU,2962,38,16,0,14,25,32,0,NA,2025-05-01
LAF,POAU,2963,74,27,2,12,15,16,2,NA,2025-05-01
BAS,AGHY,813,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,814,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,816,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,819,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,901,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,903,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,908,2,1,NA,NA,NA,NA,0,0,2025-05-12
BAS,AGHY,910,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,911,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,912,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,913,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,826,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,830,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,831,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,839,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,931,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
BAS,AGHY,932,0,NA,NA,NA,NA,NA,NA,0,2025-05-12
