"trait","species","parameter","label","term_type","median_est","lower_CI","upper_CI","lower_CI95","upper_CI95","prob_gt0","prob_lt0","strong_effect"
"Spikelet","E. virginicus","bendoherb","Endophyte × Herbivory","Two-way interaction",-0.003,-0.2552,0.239,-0.3074,0.2867,0.4915,0.5085,FALSE
"Spikelet","E. virginicus","bherbclim","Herbivory × Climate","Two-way interaction",-0.1051,-0.2883,0.0638,-0.3327,0.0973,0.1542,0.8458,FALSE
"Spikelet","E. virginicus","bendoclim","Endophyte × Climate","Two-way interaction",0.0625,-0.0756,0.1983,-0.1009,0.2273,0.7677,0.2323,FALSE
"Spikelet","E. virginicus","bherb","Herbivory","Main effect",0.1983,-0.0383,0.4535,-0.0849,0.502,0.9138,0.0862,TRUE
"Spikelet","E. virginicus","bendo","Endophyte","Main effect",-0.0658,-0.2652,0.1337,-0.3046,0.1692,0.2893,0.7107,FALSE
"Spikelet","E. virginicus","bclim","Climate","Main effect",0.0826,-0.1288,0.3152,-0.1665,0.3719,0.7353,0.2647,FALSE
"Spikelet","E. virginicus","b0","Intercept",NA,2.883,2.5491,3.2041,2.4721,3.2662,1,0,TRUE
"Spikelet","P. autumnalis","bendoherbclim","Endophyte × Herbivory × Climate","Three-way interaction",-0.0479,-0.2735,0.1605,-0.3194,0.2018,0.3562,0.6438,FALSE
"Spikelet","P. autumnalis","bendoherb","Endophyte × Herbivory","Two-way interaction",0.1776,-0.0758,0.4575,-0.1298,0.5084,0.8697,0.1303,FALSE
"Spikelet","P. autumnalis","bherbclim","Herbivory × Climate","Two-way interaction",-0.0252,-0.1829,0.1418,-0.2146,0.1756,0.3973,0.6027,FALSE
"Spikelet","P. autumnalis","bendoclim","Endophyte × Climate","Two-way interaction",0.0442,-0.1124,0.191,-0.141,0.2205,0.6842,0.3158,FALSE
"Spikelet","P. autumnalis","bherb","Herbivory","Main effect",0.1764,-0.0674,0.4112,-0.1161,0.4536,0.8912,0.1088,FALSE
"Spikelet","P. autumnalis","bendo","Endophyte","Main effect",-0.0323,-0.2225,0.1636,-0.2544,0.2043,0.3798,0.6202,FALSE
"Spikelet","P. autumnalis","bclim","Climate","Main effect",0.1577,-0.1134,0.5028,-0.1757,0.5812,0.8262,0.1738,FALSE
"Spikelet","P. autumnalis","b0","Intercept",NA,2.7886,2.3183,3.1866,2.2196,3.2681,1,0,TRUE
